Gene,Count
invalid,858140
Gapdh,184976
Adra1b,61153
Cux2,43408
Rprml,30274
Bcl11b,22508
Atp2b4,21921
Foxp2,16849
Atp1a2,13707
Flt1,12583
Cryab,12422
Rorb,12343
Penk,9747
Sstr1,9742
Luzp2,9569
Grin3a,7832
Spon1,7176
Pou3f1,6205
Reln,5817
Npy,5481
Prss23,4580
Inpp4b,4355
Nr4a2,4125
Crh,4122
Car2,4056
Lypd1,3904
Cdh9,3742
Zfpm2,3551
Car4,3477
Nek7,2795
Col12a1,2363
Zdhhc12,2296
Thsd7a,2155
Dlx6os1,2047
Nell1,2037
Chn2,1956
Cdh20,1813
Coch,1639
Tmem163,1612
Lgals1,1593
Pld5,1488
Crym,1336
Nxph1,1266
Igfbp7,1168
Itm2a,1142
Pdlim1,805
Zfp804b,718
Tgtp1,630
Plpp4,424
Vwc2,418
Igf1,284
